StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q2_16_TEXT,Q40,Q4,Q6,Q6_6_TEXT,Q7,Q9,Q43,Q43_11_TEXT,Q13_1,Q13_2,Q13_3,Q13_4,Q14_1,Q14_2,Q14_3,Q14_4,Q15_1,Q15_2,Q15_3,Q15_4,Q18_1,Q18_2,Q18_3,Q19_1,Q19_2,Q19_3,Q20_1,Q20_2,Q20_3,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q21_7,Q21_8,Q21_9,Q21_10,Q22,Q23_1,Q23_2,Q23_3,Q24_1,Q24_2,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q26_1,Q26_2,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q28_6,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,How long has your company existed?,In which industry does your company operate? - Selected Choice,In which industry does your company operate? - Other (please describe): - Text,What is your role at your company?,How would you rate your understanding and knowledge concerning blockchain?,"In general, there are five basic players in a blockchain environment. 

Which of the roles listed below best describes your company? (If you have never used blockchain, decide which description is most appropriate in your context) - Selected Choice","In general, there are five basic players in a blockchain environment. 

Which of the roles listed below best describes your company? (If you have never used blockchain, decide which description is most appropriate in your context) - Other (please describe): - Text","What stage has your company’s blockchain project reached? (If you have multiple projects, choose the most representative one)",Stopped: At what stage did you stop your project?,Which of the following use cases describes your main project? (multiple possible) - Selected Choice,Which of the following use cases describes your main project? (multiple possible) - Other - Text,Relative Advantage: In my opinion... - ...blockchains can increase my company’s profits.,Relative Advantage: In my opinion... - ...blockchains can enhance the efficiency of my company.,Relative Advantage: In my opinion... - ...using a blockchain improves the quality of my company’s final product.,Relative Advantage: In my opinion... - ...we can gain additional customers if we adopt blockchain in processes.,Costs: In my opinion... - ...investing in blockchains is feasible and affordable.,Costs: In my opinion... - ...the cost of maintaining blockchains is feasible and affordable.,Costs: In my opinion... - ...operational costs can be reduced by using blockchains.,Costs: In my opinion... - ...the cost of implementing blockchains is acceptable.,Compatibility: In my opinion... - ...the changes introduced by blockchains are consistent with my company’s existing beliefs/values.,Compatibility: In my opinion... - ...blockchains are compatible with the existing information infrastructure in my company.,Compatibility: In my opinion... - ...the changes introduced by blockchains are consistent with existing practices.,Compatibility: In my opinion... - ...blockchain development is compatible with my company’s existing experiences with similar systems.,Complexity: In my opinion... - ...my enterprise understands how to operate blockchains applications.,"Complexity: In my opinion... - ...blockchain applications (such as Hyperledger, Corda, etc.) are easy to use.",Complexity: In my opinion... - ...learning how to operate blockchain applications is simple.,Trialability: In my opinion... - ...blockchains can be trialed within an acceptable time period.,Trialability: In my opinion... - ...I have had plenty of opportunities to try various blockchain applications.,Trialability: In my opinion... - ...a proper on-the-job trial of the various uses of the blockchain is possible.,Observability: In my opinion... - ...it is easy for me to explain why adopting blockchain may or may not be beneficial.,Observability: In my opinion... - ...I could communicate the pros and cons of adopting blockchain to others.,Observability: In my opinion... - ...it is easy to observe the results of a blockchain application.,"Organizational Readiness: In my opinion... - ...my organization is flexible in allocating adequate resources (such as financial, human or IT) necessary to innovate with the IT portfolio.",Organizational Readiness: In my opinion... - ...my organization has a well-established way of sharing ideas and thoughts to engage with the IT portfolio for innovations.,Organizational Readiness: In my opinion... - ...my organization makes reasonable risk assessments of using IT to facilitate innovation.,"Organizational Readiness: In my opinion... - ...enterprise system/s in my organization is/are stable, up-to-date, and reliable.","Organizational Readiness: In my opinion... - ...I have access to a range of new technologies like cloud, mobile, social media, and big data analytics to facilitate innovation.",Organizational Readiness: In my opinion... - ...our employees are motivated to facilitate innovation.,Organizational Readiness: In my opinion... - ...our employees are empowered to make decisions that facilitate innovation.,"Organizational Readiness: In my opinion... - ...our employees have the appropriate knowledge (i.e., technical, business process, and organizational) to facilitate blockchains.",Organizational Readiness: In my opinion... - ...we are good at implementing new ideas within the organization.,Organizational Readiness: In my opinion... - ...most of our new ideas have now been implemented.,How many people work full-time at your enterprise?,Senior Management Support: In my opinion... - ...senior managers actively respond and take notice when a project is initiated.,Senior Management Support: In my opinion... - ...senior managers are willing to accept risks when adopting blockchains.,Senior Management Support: In my opinion... - ...senior managers are likely to consider the adoption of blockchain applications as strategically important.,Competition Intensity: In my opinion... - ...my industry profit margins are higher compared to other industries’ profit margins.,Competition Intensity: In my opinion... - ... my company’s industry market share will grow in the coming years.,Please rate the pressure placed on your organization to use blockchain by... - ...competitors,Please rate the pressure placed on your organization to use blockchain by... - ...customers,Please rate the pressure placed on your organization to use blockchain by... - ...suppliers,Please rate the pressure placed on your organization to use blockchain by... - ...government agencies/regulators,Please rate the pressure placed on your organization to use blockchain by... - ...shareholders,Regulatory Uncertainty: In my opinion... - ...the regulatory environment does not currently support blockchain projects.,Regulatory Uncertainty: In my opinion... - ...blockchain projects will not have enough regulatory support in the immediate future.,Please rate the collaboration of your company with: - ...competitors,Please rate the collaboration of your company with: - ...customers,Please rate the collaboration of your company with: - ...suppliers,Please rate the collaboration of your company with: - ...governmental agencies/regulators,Please rate the collaboration of your company with: - ...IT vendors,Please rate the collaboration of your company with: - ...universities,How many different business customers (not end-consumers!) do you have?,How many different countries are represented by your business customers?,How many different suppliers do you have?,How many different countries are represented by your suppliers?,In which department are you based?,Optional: What is your company's name?,"Optional: If you would like to receive the results of this study, please supply your e-mail address","Optional: Do you have any other comments, suggestions or feedback?"
0,0,0,0,3,0,0,0,0,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,60,0,0,0,0,0,,,,0,0,0,0,4,6,,,3,1,,6,1,,,2,2,1,3,2,3,3,3,4,1,2,4,2,2,2,1,3,4,4,3,5,3,3,4,3,4,3,4,4,3,4,17,4,4,4,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,100,0,0,0,0,0,,,,0,0,0,0,4,15,,2,2,4,,6,3,"2,3,9",,4,5,3,4,3,3,5,3,4,2,2,2,2,3,3,4,5,4,6,6,5,3,5,5,4,5,4,3,4,4,3,17,5,3,3,3,5,4,3,2,1,1,3,4,1,5,5,4,5,4,5,6,5,4,17,0,0,0
0,0,0,0,100,0,0,0,0,0,,,,0,0,0,0,2,15,,12,1,1,,5,,"2,9",,2,2,4,2,2,3,2,2,4,4,1,2,4,4,4,2,2,2,6,6,5,5,5,5,5,6,6,6,5,5,3,15,6,5,4,3,6,2,2,2,2,4,3,2,5,6,6,3,5,5,2,2,2,2,17,0,0,0
0,0,0,0,100,0,0,0,0,0,,,,0,0,0,0,4,7,,12,1,1,,4,,11,Digital Identity,4,3,3,3,4,4,5,4,4,3,3,2,4,4,4,5,3,4,3,5,5,6,6,4,5,6,6,6,6,6,5,17,6,5,4,4,6,4,3,3,3,3,4,2,3,6,5,4,4,5,4,1,1,1,12,0,0,0
0,0,0,0,100,0,0,0,0,0,,,,0,0,0,0,4,13,,3,3,3,,7,,,,2,2,2,2,3,3,4,3,3,2,2,2,2,2,2,3,3,3,5,5,4,3,4,4,5,5,5,4,5,4,3,17,4,3,5,4,5,1,1,1,1,1,4,4,1,5,3,5,4,5,3,1,3,1,13,0,0,0
0,0,0,0,100,0,0,0,0,0,,,,0,0,0,0,4,15,,12,1,5,,2,,11,,4,4,4,3,2,2,2,2,4,3,3,3,3,3,2,3,2,3,4,4,4,4,5,5,4,5,6,6,4,6,4,17,6,5,5,3,5,1,1,1,1,2,4,3,4,4,4,4,4,4,5,3,5,4,19,0,0,0
0,0,0,0,100,0,0,0,0,0,,,,0,0,0,0,4,8,,12,2,4,,7,,,,2,3,1,2,3,3,2,3,2,2,2,2,1,3,4,4,3,4,3,4,3,3,4,5,5,5,5,5,3,4,4,16,4,3,4,3,4,1,1,1,1,1,2,2,3,6,4,4,3,5,5,1,1,1,12,0,0,0
0,0,0,0,100,0,0,0,0,0,,,,0,0,0,0,4,3,,3,3,4,,2,,"2,4",,3,4,4,2,3,4,3,3,4,2,4,4,2,3,3,3,2,3,5,4,5,3,4,4,4,4,5,4,3,4,4,17,5,4,4,4,4,4,2,3,4,3,4,2,1,5,4,4,4,4,4,3,4,4,11,0,0,0
